"Name"|"Age"|"Class.Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"581"|"LINES, Miss Mary Conover"|"16"|"1st Class"|"17592"|"£39 8s "|""|NA|"Cherbourg"|""|"9"|NA
"582"|"LONG, Mr Milton Clyde"|"29"|"1st Class"|"113501"|"£30 "|""|NA|"Southampton"|""|""|126
"583"|"LONGLEY, Miss Gretchen Fiske"|"21"|"1st Class"|"13502"|"£77 19s 2d"|""|NA|"Cherbourg"|""|"10"|NA
"584"|"LORING, Mr Joseph Holland"|"30"|"1st Class"|"113801"|"£45 10s "|""|NA|"Southampton"|""|""|NA
"585"|"LURETTE, Miss Eugenie Elise"|"59"|"1st Class"|"17569"|"£146 10s 5d"|"Servant"|NA|"Cherbourg"|"Personal Maid"|"6"|NA
"586"|"MADILL, Miss Georgette Alexandra"|"16"|"1st Class"|"24160"|"£211 6s 9d"|""|NA|"Southampton"|""|"2"|NA
"587"|"MAGUIRE, Mr John Edward"|"30"|"1st Class"|"110469"|"£26 "|""|NA|"Southampton"|""|""|NA
"588"|"MAIONI, Miss Roberta Elizabeth Mary"|"19"|"1st Class"|"110152"|"£86 10s "|"Servant"|NA|"Southampton"|"Personal Maid"|"8"|NA
"589"|"MARéCHAL, Mr Pierre"|"28"|"1st Class"|"11774"|"£29 14s "|""|NA|"Cherbourg"|"Aviator"|"7"|NA
"590"|"MARVIN, Mr Daniel Warner"|"18"|"1st Class"|"113773"|"£53 2s "|""|NA|"Southampton"|"Of Independent Means"|""|NA
"591"|"MARVIN, Mrs Mary Graham Carmichael"|"18"|"1st Class"|"113773"|"£53 2s "|""|NA|"Southampton"|""|"10"|NA
"592"|"MAYNé, Mlle Bertha Antonine"|"24"|"1st Class"|"17482"|"£49 10s 1d"|""|NA|"Cherbourg"|"Singer"|"6"|NA
"593"|"MCCAFFRY, Mr Thomas Francis"|"46"|"1st Class"|"13050"|"£75 4s 10d"|""|NA|"Southampton"|"Banker"|""|292
"594"|"MCCARTHY, Mr Timothy J."|"54"|"1st Class"|"17463"|"£51 17s 3d"|""|NA|"Southampton"|"Buyer"|""|175
"595"|"MCGOUGH, Mr James Robert"|"35"|"1st Class"|"17473"|"£26 5s 9d"|""|NA|"Southampton"|"Buyer"|"7"|NA
"596"|"MEYER, Mr Edgar Joseph"|"28"|"1st Class"|"17604"|"£82 3s 5d"|""|NA|"Cherbourg"|"Mechanical Engineer"|""|NA
"597"|"MEYER, Mrs Leila"|"25"|"1st Class"|"17604"|"£82 3s 5d"|""|NA|"Cherbourg"|""|"6"|NA
"598"|"MILLET, Mr Francis Davis"|"65"|"1st Class"|"13509"|"£26 11s "|""|NA|"Cherbourg"|"Artist"|""|249
"599"|"MINAHAN, Dr William Edward"|"44"|"1st Class"|"19928"|"£90 "|""|NA|" "|"Merchant"|""|230
"600"|"MINAHAN, Mrs Lillian E."|"37"|"1st Class"|"19928"|"£90 "|""|NA|" "|""|"14"|NA
"601"|"MINAHAN, Miss Daisy E."|"33"|"1st Class"|"19928"|"£90 "|""|NA|" "|""|"14"|NA
"602"|"MOCK, Mr Philipp Edmund"|"30"|"1st Class"|"13236"|"£57 15s "|""|NA|"Cherbourg"|""|"11"|NA
"603"|"MOLSON, Mr Harry Markland"|"55"|"1st Class"|"113787"|"£30 10s "|""|NA|"Southampton"|"Businessman"|""|NA
"604"|"MOORE, Mr Clarence Bloomfield"|"47"|"1st Class"|"113796"|"£42 8s "|""|NA|"Southampton"|"Businessman"|""|NA
"605"|"NATSCH, Mr Charles"|"36"|"1st Class"|"17596"|"£29 14s "|""|NA|"Cherbourg"|""|""|NA
"606"|"NEWELL, Mr Arthur Webster"|"58"|"1st Class"|"35273"|"£113 5s 6d"|""|NA|"Cherbourg"|""|""|122
"607"|"NEWELL, Miss Marjorie Anne"|"23"|"1st Class"|"35273"|"£113 5s 6d"|""|NA|"Cherbourg"|""|"6"|NA
"608"|"NEWELL, Miss Madeleine"|"31"|"1st Class"|"35273"|"£113 5s 6d"|""|NA|"Cherbourg"|""|"6"|NA
"609"|"NEWSOM, Miss Helen Monypeny"|"19"|"1st Class"|"11752"|"£26 5s 8d"|""|NA|"Southampton"|""|"5"|NA
"610"|"NICHOLSON, Mr Arthur Ernest"|"64"|"1st Class"|"693"|"£26 "|""|NA|"Southampton"|""|""|263
"611"|"NOURNEY, Mr Alfred"|"20"|"1st Class"|"2166"|"£13 17s 3d"|""|NA|"Cherbourg"|"Gentleman"|"7"|NA
"612"|"OLIVA Y OCANA, Doña Fermina"|"39"|"1st Class"|"17758"|"£108 18s "|"Servant"|NA|"Cherbourg"|"Personal Maid"|"8"|NA
"613"|"OMONT, Mr Alfred Fernand"|"29"|"1st Class"|"12998"|"£25 14s 10d"|""|NA|"Cherbourg"|"Dealer"|"7"|NA
"614"|"OSTBY, Mr Engelhart Cornelius"|"64"|"1st Class"|"113509"|"£61 19s 7d"|""|NA|"Southampton"|"Jeweller"|""|234
"615"|"OSTBY, Miss Helen Ragnhild"|"22"|"1st Class"|"113509"|"£61 19s 7d"|""|NA|"Southampton"|""|"5"|NA
"616"|"OVIES Y RODRIGUEZ, Mr Servando Jose Florentino"|"36"|"1st Class"|"17562"|"£27 14s 5d"|""|NA|"Cherbourg"|"Merchant"|""|189
"617"|"PARR, Mr William Henry Marsh"|"29"|"1st Class"|"112052"|""|"H&W Guarantee Group"|NA|"Belfast"|"Electrician"|""|NA
"618"|"PARTNER, Mr Austin"|"40"|"1st Class"|"113043"|"£28 10s "|""|NA|"Southampton"|"Stockbroker"|""|166
"619"|"PAYNE, Mr Vivian Ponsonby"|"22"|"1st Class"|"12749"|"£93 10s "|"Servant"|NA|"Southampton"|"Clerk"|""|NA
"620"|"PEARS, Mr Thomas Clinton"|"29"|"1st Class"|"113776"|"£66 12s "|""|NA|"Southampton"|"Of Independent Means"|""|NA
"621"|"PEARS, Mrs Edith"|"22"|"1st Class"|"113776"|"£66 12s "|""|NA|"Southampton"|""|"8"|NA
"622"|"PEñASCO Y CASTELLANA, Mr Victor"|"24"|"1st Class"|"17758"|"£108 18s "|""|NA|"Cherbourg"|"Of Independent Means"|""|NA
"623"|"PEñASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo"|"22"|"1st Class"|"17758"|"£108 18s "|""|NA|"Cherbourg"|"Of Independent Means"|"8"|NA
"624"|"PERREAULT, Miss Mary Anne"|"33"|"1st Class"|"12749"|"£93 10s "|"Servant"|NA|"Southampton"|"Personal Maid"|"3"|NA
"625"|"PEUCHEN, Major Arthur Godfrey"|"52"|"1st Class"|"113786"|"£30 10s "|""|NA|"Southampton"|""|"6"|NA
"626"|"PORTER, Mr Walter Chamberlain"|"46"|"1st Class"|"110465"|"£52 "|""|NA|"Southampton"|""|""|207
"627"|"POTTER, Mrs Lily Alexenia"|"56"|"1st Class"|"11767"|"£83 3s 2d"|""|NA|"Cherbourg"|""|"7"|NA
"628"|"REUCHLIN, Mr Jonkheer Johan George"|"38"|"1st Class"|"19972"|""|""|NA|"Cherbourg"|""|""|NA
"629"|"RHEIMS, Mr George Alexander Lucien"|"33"|"1st Class"|"17607"|"£39 12s "|""|NA|"Cherbourg"|"Businessman"|"A"|NA
"630"|"RIGHINI, Mr Sante"|"22"|"1st Class"|"17760"|"£135 12s 8d"|"Servant"|NA|"Cherbourg"|"Servant"|""|232
"631"|"ROBBINS, Mr Victor"|"42"|"1st Class"|"17757"|"£247 10s 6d"|"Servant"|NA|"Cherbourg"|"Servant"|""|NA
"632"|"ROBERT, Mrs Elisabeth Walton"|"43"|"1st Class"|"24160"|"£211 6s 9d"|""|NA|"Southampton"|"Of Independent Means"|"2"|NA
"633"|"ROEBLING, Mr Washington Augustus II"|"31"|"1st Class"|"17590"|"£50 9s 11d"|""|NA|"Southampton"|"Of Independent Means"|""|NA
"634"|"ROMAINE, Mr Charles Hallace"|"45"|"1st Class"|"111428"|"£26 11s "|""|NA|"Southampton"|""|"9"|NA
"635"|"ROOD, Mr Hugh Roscoe"|"38"|"1st Class"|"113767"|"£50 "|""|NA|"Southampton"|""|""|NA
"636"|"ROSENBAUM, Miss Edith Louise"|"34"|"1st Class"|"17613"|"£27 14s 5d"|""|NA|"Cherbourg"|"Journalist"|"11"|NA
"637"|"ROSENSHINE, Mr George"|"46"|"1st Class"|"17585"|"£79 4d"|""|NA|"Cherbourg"|"Merchant"|""|16
"638"|"ROSS, Mr John Hugo"|"36"|"1st Class"|"13049"|"£40 2s 6d"|""|NA|"Southampton"|""|""|NA
"639"|"ROTHES, Lucy Noël Martha, Countess of"|"33"|"1st Class"|"110152"|"£86 10s "|""|NA|"Southampton"|"Of Independent Means"|"8"|NA
"640"|"ROTHSCHILD, Mr Martin"|"46"|"1st Class"|"17603"|"£59 8s "|""|NA|"Cherbourg"|""|""|NA
"641"|"ROTHSCHILD, Mrs Elizabeth Jane Anne"|"54"|"1st Class"|"17603"|"£59 8s "|""|NA|"Cherbourg"|""|"6"|NA
"642"|"ROWE, Mr Alfred G."|"59"|"1st Class"|"113790"|"£26 11s "|""|NA|"Southampton"|"Landowner"|""|109
"643"|"RYERSON, Mr Arthur Larned"|"61"|"1st Class"|"17608"|"£262 7s 6d"|""|NA|"Cherbourg"|""|""|NA
"644"|"RYERSON, Mrs Emily Maria"|"48"|"1st Class"|"17608"|"£262 7s 6d"|""|NA|"Cherbourg"|""|"4"|NA
"645"|"RYERSON, Miss Emily Borie"|"18"|"1st Class"|"17608"|"£262 7s 6d"|""|NA|"Cherbourg"|""|"4"|NA
"646"|"RYERSON, Miss Susan Parker \"Suzette\""|"21"|"1st Class"|"17608"|"£262 7s 6d"|""|NA|"Cherbourg"|""|"4"|NA
"647"|"RYERSON, Master John Borie"|"13"|"1st Class"|"17608"|"£262 7s 6d"|""|NA|"Cherbourg"|""|"4"|NA
"648"|"SAALFELD, Mr Adolphe"|"47"|"1st Class"|"19988"|"£30 10s "|""|NA|"Southampton"|"Businessman"|"3"|NA
"649"|"SäGESSER, Mlle Emma"|"24"|"1st Class"|"17477"|"£69 6s "|"Servant"|NA|"Cherbourg"|"Personal Maid"|"9"|NA
"650"|"SALOMON, Mr Abraham Lincoln"|"43"|"1st Class"|"111163"|"£26 "|""|NA|"Cherbourg"|"Businessman"|"1"|NA
"651"|"SCHABERT, Mrs Emma"|"35"|"1st Class"|"13236"|"£57 15s "|""|NA|"Cherbourg"|""|"11"|NA
"652"|"SERREPLAN, Miss Auguste"|"30"|"1st Class"|"113798"|"£31 "|"Servant"|NA|"Southampton"|"Personal Maid"|"4"|NA
"653"|"SEWARD, Mr Frederic Kimber"|"34"|"1st Class"|"113794"|"£26 11s "|""|NA|"Southampton"|"Lawyer"|"7"|NA
"654"|"SHUTES, Miss Elizabeth Weed"|"40"|"1st Class"|"17582"|"£153 9s 3d"|"Servant"|NA|"Southampton"|"Governess"|"3"|NA
"655"|"SILVERTHORNE, Mr Spencer Victor"|"35"|"1st Class"|"17475"|"£26 5s 9d"|""|NA|"Southampton"|""|"5"|NA
"656"|"SILVEY, Mr William Baird"|"50"|"1st Class"|"13507"|"£55 18s "|""|NA|"Cherbourg"|""|""|NA
"657"|"SILVEY, Mrs Alice"|"39"|"1st Class"|"13507"|"£55 18s "|""|NA|"Cherbourg"|""|"11"|NA
"658"|"SIMONIUS-BLUMER, Mr Colonel (Oberst) Alfons"|"56"|"1st Class"|"13213"|"£35 10s "|""|NA|"Southampton"|"Banker"|"3"|NA
"659"|"SLOPER, Mr William Thompson"|"28"|"1st Class"|"113788"|"£35 10s "|""|NA|"Southampton"|"Stockbroker"|"7"|NA
"660"|"SMART, Mr John Montgomery"|"56"|"1st Class"|"113792"|"£26 11s "|""|NA|"Southampton"|""|""|NA
"661"|"SMITH, Mr James Clinch"|"56"|"1st Class"|"17764"|"£30 13s 11d"|""|NA|"Cherbourg"|"Military"|""|NA
"662"|"SMITH, Mr Richard William"|""|"1st Class"|"113056"|"£26 "|""|NA|"Southampton"|""|""|NA
"663"|"SMITH, Mr Lucian Philip"|"24"|"1st Class"|"13695"|"£60 "|""|NA|"Cherbourg"|""|""|NA
"664"|"SMITH, Mrs Mary Eloise"|"18"|"1st Class"|"13695"|"£60 "|""|NA|"Cherbourg"|""|"6"|NA
"665"|"SNYDER, Mr John Pillsbury"|"24"|"1st Class"|"21228"|"£82 5s 4d"|""|NA|"Southampton"|""|"7"|NA
"666"|"SNYDER, Mrs Nelle"|"23"|"1st Class"|"21228"|"£82 5s 4d"|""|NA|"Southampton"|""|"7"|NA
"667"|"SPEDDEN, Mr Frederic Oakley"|"45"|"1st Class"|"16966"|"£134 10s "|""|NA|"Cherbourg"|""|"3"|NA
"668"|"SPEDDEN, Mrs Margaretta Corning"|"39"|"1st Class"|"16966"|"£134 10s "|""|NA|"Cherbourg"|""|"3"|NA
"669"|"SPEDDEN, Master Robert Douglas"|"6"|"1st Class"|"16966"|"£134 10s "|""|NA|"Cherbourg"|""|"3"|NA
"670"|"SPENCER, Mr William Augustus"|"57"|"1st Class"|"17569"|"£146 10s 5d"|""|NA|"Cherbourg"|""|""|NA
"671"|"SPENCER, Mrs Marie Eugenie"|"45"|"1st Class"|"17569"|"£146 10s 5d"|""|NA|"Cherbourg"|""|"6"|NA
"672"|"STäHELIN-MAEGLIN, Dr Max"|"32"|"1st Class"|"13214"|"£30 10s "|""|NA|"Southampton"|"Lawyer"|"3"|NA
"673"|"STEAD, Mr William Thomas"|"62"|"1st Class"|"113514"|"£26 11s "|""|NA|"Southampton"|"Journalist"|""|NA
"674"|"STENGEL, Mr Charles Emil Henry"|"54"|"1st Class"|"11778"|"£55 8s 10d"|""|NA|"Cherbourg"|"Businessman"|"1"|NA
"675"|"STENGEL, Mrs Annie May"|"44"|"1st Class"|"11778"|"£55 8s 10d"|""|NA|"Cherbourg"|""|"5"|NA
"676"|"STEPHENSON, Mrs Martha"|"52"|"1st Class"|"36947"|"£78 5s 4d"|""|NA|"Cherbourg"|""|"4"|NA
"677"|"STEWART, Mr Albert A."|"54"|"1st Class"|"17605"|"£27 14s 5d"|""|NA|"Cherbourg"|"Businessman"|""|NA
"678"|"STONE, Mrs Martha Evelyn"|"62"|"1st Class"|"113572"|"£80 "|""|NA|"Southampton"|""|"6"|NA
"679"|"STRAUS, Mr Isidor"|"67"|"1st Class"|"17483"|"£221 15s 7d"|""|NA|"Southampton"|"Businessman"|""|96
"680"|"STRAUS, Mrs Rosalie Ida"|"63"|"1st Class"|"17483"|"£221 15s 7d"|""|NA|"Southampton"|""|""|NA
"681"|"SUTTON, Mr Frederick"|"61"|"1st Class"|"36963"|"£32 6s 5d"|""|NA|"Southampton"|"Property Developer / Real Estate"|""|46
"682"|"SWIFT, Mrs Margaret Welles"|"46"|"1st Class"|"17466"|"£25 18s 7d"|""|NA|"Southampton"|""|"8"|NA
"683"|"TAUSSIG, Mr Emil"|"52"|"1st Class"|"110413"|"£79 13s "|""|NA|"Southampton"|""|""|NA
"684"|"TAUSSIG, Mrs Tillie"|"39"|"1st Class"|"110413"|"£79 13s "|""|NA|"Southampton"|""|"8"|NA
"685"|"TAUSSIG, Miss Ruth"|"18"|"1st Class"|"110413"|"£79 13s "|""|NA|"Southampton"|""|"8"|NA
"686"|"TAYLOR, Mr Elmer Zebley"|"48"|"1st Class"|"19996"|"£52 "|""|NA|"Southampton"|"Manufacturer"|"5"|NA
"687"|"TAYLOR, Mrs Juliet Cummins"|"49"|"1st Class"|"19996"|"£52 "|""|NA|"Southampton"|""|"5"|NA
"688"|"THAYER, Mr John Borland"|"49"|"1st Class"|"17421"|"£110 17s 8d"|""|NA|"Cherbourg"|"Businessman"|""|NA
"689"|"THAYER, Mrs Marian Longstreth"|"39"|"1st Class"|"17421"|"£110 17s 8d"|""|NA|"Cherbourg"|""|"4"|NA
"690"|"THAYER, Mr John Borland jr"|"17"|"1st Class"|"17421"|"£110 17s 8d"|""|NA|"Cherbourg"|"Scholar"|"B"|NA
"691"|"THORNE, Miss Gertrude Maybelle"|"38"|"1st Class"|"17585"|"£80 4d"|""|NA|"Cherbourg"|""|"D"|NA
"692"|"TUCKER, Mr Gilbert Milligan jr"|"31"|"1st Class"|"2543"|"£28 10s 9d"|""|NA|"Cherbourg"|""|"7"|NA
"693"|"URUCHURTU, Don. Manuel Ramirez"|"39"|"1st Class"|"17601"|"£27 14s 5d"|""|NA|"Cherbourg"|"Lawyer"|""|NA
"694"|"VAN DER HOEF, Mr Wyckoff"|"61"|"1st Class"|"111240"|"£33 10s "|""|NA|"Belfast"|"Businessman"|""|245
"695"|"WALKER, Mr William Anderson"|"48"|"1st Class"|"36967"|"£34 5d"|""|NA|"Southampton"|""|""|NA
"696"|"WARD, Miss Annie Moore"|"38"|"1st Class"|"17755"|"£512 6s 7d"|"Servant"|NA|"Cherbourg"|"Personal Maid"|"3"|NA
"697"|"WARREN, Mr Frank Manley"|"63"|"1st Class"|"110813"|"£75 5s "|""|NA|"Cherbourg"|""|""|NA
"698"|"WARREN, Mrs Anna Sophia"|"60"|"1st Class"|"110813"|"£75 5s "|""|NA|"Cherbourg"|""|"5"|NA
"699"|"WEIR, Colonel John"|"59"|"1st Class"|"113800"|"£26 11s "|""|NA|"Southampton"|"Military"|""|NA
"700"|"WHITE, Mr Percival Wayland"|"54"|"1st Class"|"35281"|"£77 5s 9d"|""|NA|"Southampton"|"Manufacturer"|""|NA
"701"|"WHITE, Mr Richard Frasar"|"21"|"1st Class"|"35281"|"£77 5s 9d"|""|NA|"Southampton"|""|""|169
"702"|"WHITE, Mrs Ella"|"55"|"1st Class"|"17760"|"£135 12s 8d"|""|NA|"Cherbourg"|""|"8"|NA
"703"|"WICK, Mr George Dennick"|"57"|"1st Class"|"36928"|"£164 17s 4d"|""|NA|"Southampton"|""|""|NA
"704"|"WICK, Mrs Mary"|"45"|"1st Class"|"36928"|"£164 17s 4d"|""|NA|"Southampton"|""|"8"|NA
"705"|"WICK, Miss Mary Natalie"|"31"|"1st Class"|"36928"|"£164 17s 4d"|""|NA|"Southampton"|""|"8"|NA
"706"|"WIDENER, Mr George Dunton"|"50"|"1st Class"|"113503"|"£211 10s "|""|NA|"Southampton"|"Banker"|""|NA
"707"|"WIDENER, Mrs Eleanor"|"50"|"1st Class"|"113503"|"£211 10s "|""|NA|"Southampton"|""|"4"|NA
"708"|"WIDENER, Mr Harry Elkins"|"27"|"1st Class"|"113503"|"£211 10s "|""|NA|"Southampton"|"Bibliophile"|""|NA
"709"|"WILLARD, Miss Constance"|"21"|"1st Class"|"113795"|"£26 11s "|""|NA|"Southampton"|""|"8"|NA
"710"|"WILLIAMS, Mr Charles Duane"|"51"|"1st Class"|"17597"|"£61 7s 7d"|""|NA|"Cherbourg"|"Lawyer"|""|NA
"711"|"WILLIAMS, Mr Richard Norris II"|"21"|"1st Class"|"17597"|"£61 7s 7d"|""|NA|"Cherbourg"|"Sportsman"|"A"|NA
"712"|"WILSON, Miss Helen Alice"|"31"|"1st Class"|"16966"|"£134 10s "|"Servant"|NA|"Cherbourg"|"Personal Maid"|"3"|NA
"713"|"WOOLNER, Mr Hugh"|"45"|"1st Class"|"19947"|"£35 10s "|""|NA|"Southampton"|"Businessman"|"D"|NA
"714"|"WRIGHT, Mr George"|"62"|"1st Class"|"113807"|"£26 11s "|""|NA|"Southampton"|"Businessman"|""|NA
"715"|"YOUNG, Miss Marie Grice"|"36"|"1st Class"|"17760"|"£135 12s 8d"|""|NA|"Cherbourg"|""|"8"|NA
"716"|"ANDREWS, Mr Thomas"|"39"|"1st Class"|"112050"|NA|"H&W Guarantee Group"|NA|"Belfast"|"Shipbuilder"|NA|NA
"717"|"CAMPBELL, Mr William Henry"|"21"|"2nd Class"|"239853"|NA|"H&W Guarantee Group"|NA|"Belfast"|""|NA|NA
"718"|"CHISHOLM, Mr Roderick Robert Crispin"|"40"|"1st Class"|"112051"|NA|"H&W Guarantee Group"|NA|"Belfast"|"Draughtsman"|NA|NA
"719"|"CUNNINGHAM, Mr Alfred Fleming"|"21"|"2nd Class"|"239853"|NA|"H&W Guarantee Group"|NA|"Belfast"|"Fitter"|NA|NA
"720"|"FROST, Mr Anthony Wood"|"37"|"2nd Class"|"239854"|NA|"H&W Guarantee Group"|NA|"Belfast"|"Fitter"|NA|NA
"721"|"KNIGHT, Mr Robert J."|"39"|"2nd Class"|"239855"|NA|"H&W Guarantee Group"|NA|"Belfast"|"Fitter"|NA|NA
"722"|"PARKES, Mr Francis \"Frank\""|"18"|"2nd Class"|"239853"|NA|"H&W Guarantee Group"|NA|"Belfast"|"Plumber"|NA|NA
"723"|"PARR, Mr William Henry Marsh"|"29"|"1st Class"|"112052"|NA|"H&W Guarantee Group"|NA|"Belfast"|"Electrician"|NA|NA
"724"|"WATSON, Mr Ennis Hastings"|"15"|"2nd Class"|"239856"|NA|"H&W Guarantee Group"|NA|"Belfast"|"Apprentice Electrician"|NA|NA
"725"|"GWYNN, Mr William Logan"|"37"|"Victualling"|NA|NA|"Postal Clerk"|NA|"Southampton"|"Postal Clerk"|NA|NA
"726"|"MARCH, Mr John Starr"|"50"|"Victualling"|NA|NA|"Postal Clerk"|NA|"Southampton"|"Postal Clerk"|NA|225
"727"|"SMITH, Mr John Richard Jago"|"35"|"Victualling"|NA|NA|"Postal Clerk"|NA|"Southampton"|"Postal Clerk"|NA|NA
"728"|"WILLIAMSON, Mr James Bertram"|"35"|"Victualling"|NA|NA|"Postal Clerk"|NA|"Southampton"|"Postal Clerk"|NA|NA
"729"|"WOODY, Mr Oscar Scott"|"44"|"Victualling"|NA|NA|"Postal Clerk"|NA|"Southampton"|"Postal Clerk"|NA|167
"730"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"731"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"732"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"733"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"734"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"735"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"736"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"737"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"738"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"739"|""|NA|""|NA|NA|""|NA|""|""|NA|NA
"740"|"ALLARIA, Sig. Battista Antonio"|"22"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Waiter"|NA|221
"741"|"ASPESLAGH, Mr Georges"|"26"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Plateman"|NA|NA
"742"|"BANFI, Sig. Ugo"|"24"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Waiter"|NA|NA
"743"|"BASILICO, Sig. Giovanni"|"27"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Waiter"|NA|NA
"744"|"BAZZI, Sig. Narciso"|"33"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Waiter"|NA|NA
"745"|"BERNARDI, Sig. Battista"|"22"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Waiter"|NA|215
"746"|"BEUX, Mr David"|"26"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Waiter"|NA|NA
"747"|"BIETRIX, Mr George Baptiste"|"28"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Cook"|NA|NA
"748"|"BLUMET, Mr Jean Baptiste"|"26"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Pantryman"|NA|NA
"749"|"BOCHET, Mr Pierre Giuseppe"|NA|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Waiter"|NA|NA
"750"|"BOLHUIS, Mr Hendrik"|"21"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Larder Cook"|NA|NA
"751"|"BOWKER, Miss Ruth"|"27"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Cashier"|NA|NA
"752"|"CASALI, Sig. Giulio"|"32"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Waiter"|NA|NA
"753"|"CHABOISSON, Mr Adrien Finnin"|"25"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Roast Cook"|NA|NA
"754"|"CORNAIRE, Mr Marcel Raymond André"|"19"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Roast Cook"|NA|NA
"755"|"COUTIN, Mr Auguste Louis"|"28"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Entreé Cook"|NA|NA
"756"|"CROVELLA, Sig. Luigi/Louis"|"17"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Waiter"|NA|NA
"757"|"DE MARSICO, Sig. Govanni"|"20"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Waiter"|NA|NA
"758"|"DEBREUCQ, Mr Maurice Emile Victor"|"18"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Waiter"|NA|244
"759"|"DESVERNINE, Mr Louis Gabriel"|"20"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Pastry Cook"|NA|NA
"760"|"DONATI, Sig. Italo Francesco"|"17"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Waiter"|NA|311
"761"|"DORNIER, Mr Louis Auguste"|"20"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Fish Cook"|NA|NA
"762"|"FEY, Sig. Carlo"|"30"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Scullion"|NA|NA
"763"|"FIORAVANTE, Sig. Giuseppe Bertoldo"|"23"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Scullion"|NA|NA
"764"|"GATTI, Sig. Gaspare Antonio Pietro"|"37"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"à la Carte Restaurant Manager"|NA|313
"765"|"GILARDINO, Sig. Vincenzo Pio"|"31"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Waiter"|NA|NA
"766"|"GROSCLAUDE, Mr Gérald"|"24"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Waiter"|NA|NA
"767"|"JAILLET, Mr Henri Marie"|"28"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Pastry Cook"|NA|277
"768"|"JANIN, Mr Claude Marie"|"29"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Soup Cook"|NA|NA
"769"|"JEFFERY, Mr William Alfred"|"28"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Controller"|NA|NA
"770"|"JOUANNAULT, Mr Georges Jules"|"24"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Sauce Cook"|NA|NA
"771"|"MARTIN, Miss Mabel Edwina"|"20"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Cashier"|NA|NA
"772"|"MATTMANN, Sig. Adolf"|"20"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Ice Man"|NA|NA
"773"|"MAUGE, Mr Paul Achille Maurice Germain"|"25"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Kitchen Clerk"|NA|NA
"774"|"MONRóS, Sig. Joan Javier"|"20"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Waiter"|NA|27
"775"|"MONTEVERDI, Sig. Giovanni"|"23"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Cook"|NA|NA
"776"|"NANNINI, Sig. Francesco Luigi Arcangelo"|"42"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Head Waiter"|NA|NA
"777"|"PACHERA, Sig. Jean Baptiste Stanislas"|"19"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Larder Cook"|NA|NA
"778"|"PEDRINI, Sig. Alessandro"|"21"|"A la Carte"|NA|NA|NA|NA|"Southampton"|"Assistant Waiter"|NA|104
